site_idx,start_at
16,45.0
25,15.0
31,66.0
31,248.0
47,155.0
24,173.0
54,174.0
3,65.0
43,22.0
18,145.0
24,192.0
54,56.0
37,130.0
52,152.0
44,82.0
16,188.0
46,16.0
42,190.0
3,73.0
54,145.0
52,219.0
53,95.0
7,93.0
13,100.0
3,6.0
44,125.0
13,202.0
31,151.0
37,31.0
47,369.0
16,99.0
44,20.0
8,128.0
44,88.0
54,51.0
20,146.0
42,225.0
46,167.0
25,223.0
16,5.0
7,144.0
18,6.0
50,36.0
13,2.0
20,220.0
13,52.0
53,278.0
60,148.0
44,164.0
47,207.0
20,185.0
8,103.0
53,191.0
43,90.0
54,179.0
59,144.0
19,154.0
25,179.0
52,4.0
11,42.0
31,6.0
60,71.0
3,183.0
42,97.0
8,173.0
53,484.0
53,414.0
18,60.0
46,118.0
23,146.0
36,17.0
53,143.0
8,197.0
25,109.0
60,27.0
47,35.0
24,205.0
2,359.0
53,50.0
52,169.0
60,196.0
2,516.0
3,96.0
47,135.0
24,9.0
43,9.0
7,24.0
11,162.0
47,278.0
10,60.0
25,153.0
41,113.0
2,69.0
3,227.0
2,91.0
37,236.0
53,13.0
10,131.0
23,9.0
14,51.0
60,11.0
25,46.0
13,36.0
50,9.0
11,107.0
53,58.0
2,166.0
52,300.0
53,555.0
2,291.0
19,65.0
11,145.0
19,10.0
14,18.0
53,344.0
52,86.0
20,77.0
47,5.0
37,192.0
46,71.0
54,3.0
37,104.0
53,222.0
18,108.0
37,1.0
7,69.0
13,180.0
50,117.0
13,179.0
24,52.0
20,291.0
2,228.0
50,122.0
8,4.0
18,188.0
50,166.0
41,45.0
10,188.0
7,178.0
2,436.0
23,93.0
24,128.0
42,3.0
59,67.0
18,189.0
13,22.0
2,111.0
8,119.0
36,114.0
20,8.0
,31899.6
